,JID,Text

21被告「DEPO」品牌車燈為國內外AM車燈市場著名之領
導品牌，享譽國內外，已如前述，且於國內之市佔率亦較
堤維西公司車燈高於一疇；參以94年3月26日網友小祥
發文主題「TYC（即堤維西公司）v.s.DEPO」，比較被
告「DEPO」車燈及堤維西公司車燈，姑不論二者於國內
之市佔率何者較高，但由網友會將二者做為比較、討論，
顯見被告「DEPO」車燈及堤維西公司車燈均屬國內著名
品牌，廣為相關消費者所知悉；退萬步言，若果堤維西公
司車燈國內市佔率略高於被告「DEPO」車燈，然此亦僅
係國內AM車燈市場第一、二名之差異，仍不影響被告據
爭商標為著名商標之事實（舉例而言，目前國內筆記型電
腦市佔率係華碩電腦（ASUS）高於宏碁電腦（acer），但
宏碁電腦（acer）仍屬國內著名商標）。
商標無涉，報導對象也非針對相關市場消費者，且臺灣國際
品牌之遴選過程著重外銷比例，未將臺灣知名度納入，無法
證明據爭商標在臺灣具有知名度云云，惟則：
D
EPO」品牌至系爭二商標申請時（即81年至100年），
並非僅有被告公司上市當時之報導。至於報導內容，除詳
載被告以據爭「DEPO」品牌車燈商品行銷於全世界100
個國家外，更詳細介紹「DEPO」蘊含之意義及據爭商標
圖樣設計緣由，以及「DEPO」品牌自94年起連續六年榮
獲前20大臺灣國際品牌等事蹟，各篇報導均與據爭商標
有關，且各篇報導均為國內一般消費者所得接觸之網路或
報章雜誌媒體所發行，包括但不限於工商時報、經濟日報
、聯合報、自由時報、聯合報及財訊快報等。透過各大媒

22體長期且廣泛地報導及介紹，國內消費者足以清楚地認識
據爭商標為被告用以表彰車燈商品來源之識別標識，以及
被告以自創之據爭「DEPO」品牌行銷車燈商品，銷售區
域遍及全世界，並連續六年榮登前20大臺灣國際品牌等
，應足認「DEPO」品牌在臺灣具有高知名度及識別性，
原告主張各篇報導無從證明據爭商標為消費者普遍認識之
著名商標云云，昧於事實，要無足採。
際能見度的品牌」，即「臺灣自創品牌」為遴選之基本且
必要條件，故該品牌於國內市場之表現亦為評選重點，質
言之，國內消費者對品牌之辨識程度、國內市佔率、與競
爭者之差異度及品牌對營收之貢獻程度等均為評選考量因
素，因此入選臺灣國際品牌者，除在臺灣市場為相關消費
者普遍認識之著名品牌，在海外亦享有高度知名度。原告
上開所陳，均係強詞奪理之狡詞，洵無足採。
100年至103年內銷金額（含間接外銷金額）比例為
9.44%、9.46%、7.39%、5.9%（被證15），並非原告主
張之1.5%。原告或謂內銷金額不應將間接外銷（即銷售
予國內廠商後，國內廠商再銷往國外）金額列入，然判斷
據爭商標是否為著名商標時，應一併考慮據爭商標商品之
終端消費者、涉及據爭商標商品經銷管道之人及經營據爭
商標商品之相關業者對於據爭商標之認知程度，此有最高
行政法院103年度判字第712號判決可稽，從而縱認應以
被告之內銷金額作為據爭商標是否已達著名商標之依據，
理應計入被告銷售予國內貿易商之金額，故被告之內銷比
例應為前揭所述之比例，而非原告主張之1.5%。原告執
陳被告內銷比例甚低，非國內著名商標云云，要無足採。

23商，在AM市場（AfterMarket售後維修市場）與被告公
司齊名，兩者之銷售量及市占率向來在伯仲之間。依中華
徵信所103年9月30日報導，自98年起至102年五年來
汽車及其零件業Top10業者排名，被告公司及堤維西公
司均榜上有名且被告公司排名在前（被證16），再由國
內網友將堤維西及被告製造之據爭商標車燈商品相提並論
（見被證8），適可證兩間公司為國內AM市場最知名之
兩間廠商，據爭商標與堤維西公司之車燈品牌均屬著名商
標，兩者並駕齊驅，在國內市場之知名度及消費者對品牌
認識程度並無排斥關係。而同一市場有多位競爭者並存且
均為著名品牌之情形，並不少見，原告執陳堤維西公司銷
售金額、數量大於被告公司，據爭商標即非著名商標云云
，實屬無據。
原告主張被證8之論壇有關被告與堤維西車燈討論內容，
可能係消費者，也有可能係被告內部人員所留言云云然，
被證8之網友留言時間為93年至95年間，當時被告車燈
已為國內外之著名品牌，被告何須耗費人力刻意由被告內
部人員刻意至網路論壇留言宣傳。況被證8均係汽車論壇
留言討論，於該論壇瀏覽者乃對於汽車零配件具有相當了
解之網友，且現今網友發言辛辣，倘若被告車燈並非國內
著名品牌，則網友留言提及DEPO車燈時，應有網友質疑
未曾聽聞DEPO車燈，但被證8之留言均係對DEPO車燈
之性能加以討論、或與堤維西車燈加以比較，可證被告車
燈確為國內著名品牌，廣為消費者所知悉，原告前揭主張
顯屬無稽。

24認之虞，經智財局撤銷註冊，原告提起訴願及行政訴訟後，均
由經濟部及鈞院駁回，原告當無權使用系爭二商標：
濟部訴願審議委員會及鈞院104年度行商訴字第
20號、第66號行政判決均認定於系爭二商標申請註冊前，
據爭商標已為著名商標，且兩造商標高度近似，足使一般消
費者產生混淆誤認等語（被證9至12、26、27）。

系爭商標1「Depo」外文縱然將D以放大流線型設計，但
仍係由顯著可見之D、e、p、o四個英文字所組成；系
爭商標2之上方線條並無任何意義、特色，不具識別性，
「Racing」部分以極小字體置放於右下角，難以引人注意
，且已經原告聲明不專用，亦不具識別性，消費者不會將
其作為商品或服務來源之標識，「depo」外文則以突顯方
式置放於商標中心位置，從而，系爭商標2給予消費者印
象最為深刻者，乃為主要部分「depo」外文。
1雖以中文為主要部分，但「DEPO」位於中文
正上方清晰可見，且讀音與「帝寶」極為近似，予以消費
者強烈印象；系爭二商標之「Racing」外文部分，不僅所
占整體比例甚低，且以較小字體置放於右下角，並不明顯
，復為草寫字體不易辨識，且經原告聲明不專用，不具識
別性，消費者不會將其作為商品或服務來源之標識，系爭
二商標給予消費者印象最為深刻者，仍為顯著之「Depo」
或「depo」外文為識別部分，二者顯然高度近似。
2雖然上下各有二菱形，但「DEPO」位於商標
正中央，最為吸引消費者注意，並留下深刻印象，為主要
識別部分；系爭二商標雖將「Racing」放置於「Depo」或
「depo」右下方，與據爭商標之組合不同，但「Racing」

25字體微小、草寫，消費者乍看之下難以辨識，無法對其留
下印象，亦即僅有「Depo」或「depo」為主要識別部分，
與據爭商標之「DEPO」近似程度甚高。
3係由左半部光形圖、右半部「DEPO」組成，
「DEPO」字體僅略小，但於整個商標所占比例仍達一半
，普通消費者望之即可注意到「DEPO」之識別文字；系
爭二商標之主要識別部分為「Depo」或「depo」，與據爭
商標之「DEPO」字母組成、讀音完全相同，二者極為近
似。
上所述，系爭二商標與據爭諸商標相較，二者均有特別
引人注意之「DEPO」或「depo」外文，英文字母組成及
讀音完全相同，僅有大小寫之差異而已，具有普通知識經
驗之消費者，於異時異地隔離觀察時及於交易市場連貫唱
呼之際，可能會有所混淆而誤認二商標來自同一來源或雖
不相同但有關聯之來源，應屬近似商標，且近似程度很高
。原告稱系爭二商標與據爭商標不構成近似云云，無非係
將其商標之細節差異放大比較，顯有悖於商標圖樣整體觀
察、主要部分觀察及異時異地隔離觀察原則，要無可採。

原告並未提供系爭商標之使用證據，其僅於系爭商標2之
異議程序中提供系爭商標1之使用證據，惟各該使用證據
均顯示原告係將該商標使用於汽車用儀錶上，並未使用於
遊艇、發電機等用途。
車燈與儀錶應屬類似商品，因儀錶於實際使用時常與汽機
車等交通工具相結合，與車燈常透過相同行銷管道或場所
販售，兩商品若標示於近似商標，極易使消費者產生混淆
誤認，從而應屬類似商品。

26著名商標保護範圍不以類似商品/服務為限，尚及於不類
似但具有關聯性之商品，此有最高行政法院102年判字第
176號判決要旨可稽，如前所述，於系爭二商標申請日前
，據爭商標已為國內相關消費者普遍認知之著名商標，且
被告歷年來將據爭商標廣泛使用於其製銷之多項汽車零配
件用品，被告公司近五年來均列名為國內汽車及零件產業
之前十大廠商，據爭商標所受之保護應足以涵蓋車燈及與
汽車相關之商品或服務。故縱使認為車燈及儀錶非屬類似
商品，惟儀錶商品實際上常與汽機車相結合，車燈、儀錶
板商品均由相同之行銷管道或場所販售或提供裝設服務，
兩者具有高度關聯性，是以據爭商標所受之保護範圍應足
以跨類至儀錶商品。
車燈及儀錶均為一般消費者可至汽車百貨賣場購得之商品
，例如臺灣連鎖之汽車百貨賣場─旭益汽車百貨賣場，即
有販售車燈及轉速錶（被證17）；另於Yahoo！奇摩及
露天拍賣等網站之「汽車百貨→汽車零組件」分類下，除
有原告系爭商標之儀錶外，亦有販售被告製造之據爭諸商
標車燈商品，任何人只要登錄會員均可購買車燈及儀錶商
品（被證18），可證兩造商品顯非專業知識之汽車保養
及維修廠或專業人士方能購買之特殊領域商品。
Career雜誌報導
「在全球售後維修與改裝車燈市場中，帝寶DEPO這四個
英文字，可說是車燈時尚代言人」、「目前，帝寶對車燈
市場之經營分為車廠、改裝燈、AM（AfterMarket售後維
修，也就是維修用的非原廠車燈）與RV四個方向」可參
。另外超越車訊撰文介紹「RaemcoSportRacing」改裝車
隊，提及被告公司及「除了原廠型車燈外，帝寶職人○○

27○更投入了改裝燈具市場…也因DEPO的大力投入，也成
為RaemcoSportRacing車隊的重要支柱」（被證19）。
從而，據爭商標車燈銷售市場與原告經營之主力改裝車市
場明顯重疊，極易使消費者誤認系爭商標表彰來源與據爭
商標有關。
內銷的比例非常低，不到百分之一，而且台灣禁止玩改裝
車，所以我們的銷售對象幾乎都是給國外的專業進口商」
等語（被證20），足見系爭商標儀錶商品99%均外銷出
口，國內銷售數量及金額極少，在國內市場根本沒有自身
品牌之識別性及知名度。在系爭商標與據爭商標圖樣極為
近似，又使用於汽車零配件商品之情形下，消費者極易誤
認系爭商標商品來源及產製銷售主體為被告或與被告有關
聯。
則，消費者對於系爭商標商品來源已產生混淆，此由原
告於露天拍賣網站販售「DepoRacing」三環錶，有買家
留言詢問：「請問這是DEPO正品嗎？」，賣家回覆：「
Dear…DEPO正品？？不太懂你的意思喔，DEPO大燈跟
DEPO儀錶是不一樣的喔，本賣場為DEPO儀錶工廠直接
販售…謝謝」（被證21）等語，可證已有消費者將系爭
商標儀錶商品誤認係被告所製造，方如此詢問，而由原告
員工之回應更證明此應非第一次有消費者將系爭商標商品
誤認為被告公司所製造銷售，否則原告為何不直接回答此
為原告製造之正品，反而回答此與被告車燈是不同的，顯
見原告自己亦認識到消費者已有混淆誤認之情形，方為如
此回應。

28（被證8），一般消費者對於被告及堤維西公司製造之車
燈品牌已有相當認識，原告稱消費者未曾知悉市場上有哪
些車燈品牌云云，實屬無據。基上，由於消費者對於據爭
商標已有相當之認識，且儀錶與車燈常經由相同行銷管道
販售或皆於汽修廠進行更換，兩造商品關聯性甚高，將與
據爭商標高度近似之系爭商標使用於儀錶商品，極易讓消
費者誤認系爭商標與據爭商標所表彰之來源同一或有關聯
，產生系爭商標係由被告授權製造或原告與被告為關係企
業或有投資關係等錯誤聯想，系爭商標應不准註冊，原告
自不得提起本件確認商標使用權存在之訴。
縱使認為二商品係屬市場區隔有別且營業利益衝突不明顯
之商品，鑑於據爭諸商標於系爭二商標申請註冊時，已為
著名程度很高之商標，且二者近似程度非常高，加以外文
「DEPO」並未被普遍作為商標使用於商品或服務上，倘
容許系爭商標註冊使用於速度表等各式儀錶，客觀上將會
減弱或分散據爭諸商標強烈指示單一來源之特徵及吸引力
，而使該商標在社會大眾的心中不會留下單一聯想或獨特
性的印象，致有減損著名商標之識別性之虞，依系爭二商
標註冊時商標法第12條第1項第12款及現行商標法第3
0條第1項第11款後段規定，亦應不准註冊，原告自不
得請求確認本件商標使用權存在。

20年（被證13），
同為從事汽車零件銷售業者，其對於汽機車零配件商品品
牌等各種資訊，勢必比一般消費者更為熟悉，且原告與被
告均有參加94年5月臺北國際汽機車零配件展覽會（被
證22），同年9月28日公布臺灣國際品牌獲獎名單，據

29爭商標首次獲選為前20大臺灣國際品牌之列，廣泛獲得
各大媒體報導，原告在據爭諸商標獲選臺灣前20大品牌
不到一個多月後即94年11月14日，其早於93年12月3
日即已註冊「PROSPORT」商標（被證14），竟又以高度
近似之商標圖樣向智財局申請系爭商標1，顯係為攀附被
告商標，致消費者產生混淆誤認，實屬惡意，絕非單純巧
合，原告辯稱其於94年申請該商標時並不知悉據爭諸商
標云云，顯屬狡辯之詞。又被告於100年7月就系爭商標
1提起評定，原告竟於申請評定後四個月，復申請註冊高
度近似之系爭商標2，並擴大指定商品範圍，顯見原告係
惡意一再侵害被告之商標權。
原告於異議程序提出官方網站網頁中自述在96年
以前，均為他人品牌代工，直到96年底始創設自有品牌
（被證23）。且系爭商標1之被授權人技詮公司（其代
表人與原告相同），原始英文名稱為「MotorMeter（Taiw
an）Co.,Ltd.」，嗣後始變更為「DepoRacingTechnology
Co.,Ltd.」，且專門從事汽車零配件出口銷售，有該公司
於經濟部國際貿易局出進口廠商登記資料可參（被證24
），可見原告於96年底，即據爭諸商標已連續三年獲選
為臺灣前20大國際知名品牌以後，開始使用高度近似之
系爭商標1於汽車用儀錶及銷售，難謂原告沒有攀附據爭
商標之不良企圖。
名義，於103年12月陸續於第9類儀錶申請註冊「DRac
ing」及「EPORacing」商標，並將註冊商品範圍擴大指
定至第12類汽車零組件商品（被證25），顯然有將「DE
PORacing」分開申請並於獲准註冊後再合併使用之不良

30企圖，原告不顧被告之反對、不尊重在先商標權人之權益
，罔顧消費者及市場交易秩序，執意繼續使用「DEPORa
cing」商標於汽車零配件商品之行為，絕非善意申請人。
23條第1項
第12款及現行商標法第30條第1項第11款規定，經智財局
撤銷註冊，且係惡意侵害被告據爭商標，原告自無權使用系爭
二商標。被告係於系爭二商標經撤銷註冊後，寄發存證信函，
嚴正聲明原告不得再使用上開侵權商標，乃係依法主張商標權
，為合法行使權利，原告為侵害商標權人者，竟反而以此指摘
被告提起本件訴訟，洵屬無據。
28367頁之言詞辯
論筆錄）：
80年8月1日、84年9月23日、93年11月2
日獲准註冊第00558901號、第00732606號、第01162900號
等據爭諸商標。
94年11月14日獲准註冊第01220721號商標（即系爭
商標1），並於100年11月3日獲准註冊第01519465號商標
（即系爭商標2）。
系爭商標1經智財局以103年9月16日中台評字第H0100025
1號商標評定書撤銷註冊，原告提起訴願，經經濟部以104年
1月21日經訴字第10406300050號訴願決定書駁回訴願，原
告提起行政訴訟，經本院104年度行商訴字第20號行政判決
駁回原告之訴，現原告提起上訴中。
系爭商標2經智財局以103年10月28日中台異字第G010107
26號商標異議審定書撤銷註冊，原告提起訴願，經經濟部以1
04年4月24日經訴字第10406305260號訴願決定書駁回訴願
，原告提起行政訴訟，經本院104年度行商訴字第66號行政

31判決駁回原告之訴，現原告提起上訴中。
104年1月9日寄發存證信函予原告，要求原告禁止
使用系爭二商標。
284頁之言詞辯論
筆錄）：
二商標使用權存在，係私法上或公
法上之爭議？原告是否有即受確認判決之法律上利益？

系爭二商標與據爭諸商標是否有混淆誤認之虞或減損據爭諸商
標之識別性或信譽之虞，而不得使用系爭二商標？
五、得心證之理由：
按確認之訴非原告有即受確認判決之法律上利益者，不得提起
。所謂即受確認判決之法律上利益，係指法律關係之存否不明
確，原告主觀上認其在法律上之地位有不安之狀態存在，且此
種不安之狀態，能以確認判決將之除去者而言（最高法院52
年台上字第1240號判例意旨參照）。本件原告對被告就系爭
二商標主張於本院104年度行商訴字第20號商標評定事件、1
04年度行商訴字第60號商標異議事件判決確定前有使用權，
惟被告否認之，而上開商標評定及商標異議事件經本院判決後
，業經原告上訴最高行政法院中，是於上開判決確定前，原告
就系爭二商標是否有使用權即有法律上地位不安之狀態，原告
就此不安之狀態，非無提起確認之訴之法律上利益，合先敘明
。
商標法第106條第1項規定，按本法"
26013,"PCDM,103,智簡,23,20140725,1",
26014,"NTDM,108,智附民,1,20190606,1",
26015,"NTDM,112,智易,2,20230907,1",
26016,"TPBA,91,訴,4315,20031203,1",
26017,"TPBA,91,訴,5215,20040303,2",
26018,"TPBA,96,訴,1252,20071105,1",
26019,"TYDM,100,壢智簡,14,20110526,1",
26020,"ULDM,111,智易,2,20220726,1",
26021,"IPCV,97,民專訴,37,20081119,1",
26022,"TCDM,104,中智簡,102,20151030,1",
26023,"TPBA,91,訴,3198,20030717,1",
26024,"MLDM,107,單禁沒,22,20180430,1",
26025,"TPAA,97,裁,1845,20080313,1",
26026,"TPBA,93,訴,559,20050602,2","，如於本判決宣示後送達前提起上訴者，應於判決送達後20
日內補提上訴理由書（須按他造人數附繕本）。"
26027,"TCDM,101,智附民,6,20120614,1",
26028,"IPCM,109,刑智聲,3,20200117,1",
26029,"PTDM,109,智簡,6,20201030,1",
26030,"IPCV,109,民專訴,107,20210226,1",
26031,"IPCA,110,行專訴,2,20220525,4",
26032,"TPBA,91,訴,3337,20030902,1",
26033,"TCDM,97,易,1137,20080829,2",
26034,"IPCA,101,行著訴,5,20180426,8",
26035,"TPDM,106,智易,65,20180502,1","請求檢察官上訴，其上訴期間之計算係以檢察官收受判決正
本之日期為準。
                                書記官  楊文祥"
26036,"TPDM,89,易,297,20000523,1",
26037,"KLDM,96,易,575,20070928,1",
26038,"IPCA,112,行商訴,48,20240229,2",
26039,"TYDM,109,智易,31,20210521,2",
26040,"IPCA,109,行專訴,48,20210513,4",
26041,"PCDM,111,智易,16,20220816,1",
26042,"IPCM,111,刑智聲,13,20220517,1",
26043,"TPBA,90,訴,6061,20021021,2",
26044,"TYDM,104,壢智簡,15,20161129,1",
26045,"TCDM,97,易,664,20080407,1",
26046,"PCDM,98,簡,10706,20100107,1",
26047,"PCDM,92,易,41,20030509,1",
26048,"IPCV,97,民專上,5,20081112,1",
26049,"SCDM,108,單聲沒,36,20191030,1",
26050,"IPCV,110,民商訴,2,20220427,1",
26051,"IPCV,111,民著上易,11,20221103,1",
26052,"TPAA,96,判,164,20070131,1",
26053,"PTDM,89,易,1540,20001226",
26054,"IPCA,111,行商訴,74,20230608,2",
26055,"TYDV,105,智,2,20170118,2",
26056,"TPDM,90,簡上,137,20031215,1",
26057,"TPBA,96,訴,756,20071002,1",
26058,"IPCM,104,刑智上易,79,20151217,1",
26059,"PCDM,109,單聲沒,203,20200408,1",
26060,"CYDM,99,智簡,14,20100604,1",
26061,"TPBA,94,訴,3910,20060804,1",
26062,"TPBA,92,訴,1203,20040831,1",
26063,"TPAA,104,判,384,20150709,1",
26064,"TPDM,92,簡上,175,20031031,1",
26065,"TPBA,90,訴,1551,20011228,1",
26066,"TCDM,92,訴,2115,20031120,2",
26067,"TNDM,109,智簡,30,20200526,1",
26068,"TPHM,95,上易,2012,20061107,1",
26069,"IPCV,109,民著上易,25,20210331,1",
26070,"TNDM,108,智易,9,20200331,1",
26071,"TYDM,104,壢智簡,21,20160902,1",
26072,"TYDM,107,智易,4,20191227,1",
26073,"TPBA,89,訴,737,20010426,1",
26074,"CTDM,110,智易,5,20230621,2",
26075,"TPBA,90,訴,4248,20020822,2",
26076,"TPBA,96,訴,769,20070516,1",
26077,"TNDM,104,智訴,12,20170626,1",
26078,"KSDM,89,易,2243,20000727",
26079,"IPCM,103,刑智上易,30,20140522,1",
26080,"TPAA,89,裁,1670,20001130,1",
26081,"TPBA,89,訴,186,20001121,2",
26082,"SCDM,94,竹簡,290,20050905,1",
26083,"TPSV,101,台抗,683,20120829","之問題，除其再審之訴尚欠缺其他合法要件外，即應依判決
程序調查裁判。本件抗告人主張為原確定判決基礎之行政處分已
變更，依民事訴訟法第四百九十六條第一項第十一款規定提起本
件再審之訴，所指為判決基礎之行政處分已變更之情形是否實在
，為其訴有無理由之問題，其准駁應以判決為之，乃原法院竟認
其為不合法，裁定予以駁回，於法已有違誤。次按民事訴訟法第
四百九十六條第一項第十一款規定「為判決基礎之行政處分已變
更」，係指確定判決以行政處分為判決基礎，而該行政處分已因
其後之行政處分而有所變更，使原確定判決之基礎發生動搖而言
。人民依行政訴訟法第五條規定，請求行政機關應為特定內容之
行政處分，如經判決勝訴確定，非惟行政機關應為該特定內容之
行政處分，依同法第四十七條規定，該確定判決對於同法第四十
二條第一項所稱之參加人，亦有效力，嗣後行政機關依據該確定
判決而為行政處分時，該參加人即不得為相反之主張。職是，民
事訴訟法第四百九十六條第一項第十一款所稱為判決基礎之行政
處分，如係經行政機關依據前述課予義務訴訟之確定判決而為變
更之行政處分時，縱有上述之參加人對之提起行政爭訟，仍應認
為判決基礎之行政處分已有所變更，使判決之基礎發生動搖。查
抗告人前以智財局為被告，就系爭專利之舉發案提起行政訴訟，
經智慧財產法院命相對人獨立參加被告之訴訟，並以九十九年度
行專訴字第七七號判決命智財局應為撤銷申請系爭專利之審定，
嗣經最高行政法院以一○○年度判字第一○三七號判決駁回智財
局之上訴而告確定，其後智財局即為系爭行政處分，撤銷系爭專
利權（見原法院卷一五至二四頁）。是相對人雖對系爭行政處分
提起訴願，惟依上說明，仍應認為判決基礎之行政處分已變更。
原法院未見及此，徒以相對人對系爭行政處分提起訴願為由，認
抗告人提起再審之訴，不合於民事訴訟法第四百九十六條第一項
第十一款所定情形，並有可議。抗告論旨，指摘原裁定不當，求
予廢棄，非無理由。
據上論結，本件抗告為有理由。依民事訴訟法第四百九十二條第
二項，裁定如主文。"
26084,"PCDM,100,智重附民,4,20111111,1",
26085,"PCDM,107,單聲沒,586,20180925,1",
26086,"TNDV,95,智,23,20061208,1",
26087,"IPCM,97,刑智上易,22,20081117,1",
26088,"HLDM,102,花智簡,4,20130801,1",
26089,"SCDM,96,竹簡,1332,20071211,1",
26090,"TPBA,92,訴,4532,20041215,2",
26091,"IPCM,100,刑智上易,32,20110811,1",
26092,"TPBA,94,訴,3913,20060907,1",
26093,"TYDM,98,審訴,2030,20100108,1",
26094,"TPBA,92,訴,533,20040204,1",
26095,"IPCV,108,民專訴,84,20200304,3",
26096,"IPCV,112,民商訴,34,20240402,1",
26097,"TPAA,88,判,3803,19991028",
26098,"KSDM,88,易,993,20001025",
26099,"SLDV,110,智,7,20210628,1",
26100,"TYDM,103,桃智簡,20,20140824,1",
26101,"TNDM,109,智簡,11,20200227,1",
26102,"TPDM,92,簡,3201,20030922,1",
